model,rmse,mae,r2
RandomForest,2.7328105374016203,1.7485433333333338,0.9981494947211029
XGBoost,1.4470334823072282,1.0046964300883312,0.9994811659842491
LinearRegression,11.219787207575605,8.194870233443252,0.968808193958907
